INFO  22:15:35,710 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #4
INFO  22:15:35,710 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,711 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,712 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #5
INFO  22:15:35,712 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #6
INFO  22:15:35,712 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,714 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #18
INFO  22:15:35,714 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #19
INFO  22:15:35,714 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #17
INFO  22:15:35,714 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #13
INFO  22:15:35,714 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #15
INFO  22:15:35,714 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #14
INFO  22:15:35,714 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #9
INFO  22:15:35,714 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #16
INFO  22:15:35,715 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #11
INFO  22:15:35,715 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #8
INFO  22:15:35,715 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #7
INFO  22:15:35,714 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #12
INFO  22:15:35,714 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #10
INFO  22:15:35,721 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,724 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,725 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,729 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,729 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,730 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,731 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,732 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,734 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,734 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,735 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,738 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,739 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,741 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,741 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,743 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:15:35,743 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:35,928 | james.mailetcontainer | Matcher All instantiated.
INFO  22:22:35,933 | james.mailetcontainer | Mailet PostmasterAlias instantiated.
INFO  22:22:35,942 | james.mailetcontainer | Matcher RelayLimit=30 instantiated.
INFO  22:22:35,946 | james.mailetcontainer | Mailet Null instantiated.
INFO  22:22:35,949 | james.mailetcontainer | Matcher SMTPAuthSuccessful instantiated.
INFO  22:22:35,954 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:22:35,959 | james.mailetcontainer | Matcher InSpammerBlacklist=dnsbl.njabl.org. instantiated.
INFO  22:22:35,960 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:22:35,961 | james.mailetcontainer | Matcher All instantiated.
INFO  22:22:35,961 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:22:35,964 | james.mailetcontainer | Matcher SMTPAuthSuccessful instantiated.
INFO  22:22:35,967 | james.mailetcontainer | Mailet SetMimeHeader instantiated.
INFO  22:22:35,969 | james.mailetcontainer | Matcher All instantiated.
INFO  22:22:35,975 | james.mailetcontainer | Mailet VirtualUserTable instantiated.
INFO  22:22:35,980 | james.mailetcontainer | Matcher RecipientIsLocal instantiated.
INFO  22:22:36,000 | james.mailetcontainer | Mailet LocalDelivery instantiated.
INFO  22:22:36,003 | james.mailetcontainer | Matcher HostIsLocal instantiated.
INFO  22:22:36,005 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:22:36,005 | james.mailetcontainer | Matcher All instantiated.
INFO  22:22:36,023 | james.mailetcontainer | Mailet RemoteDelivery instantiated.
INFO  22:22:36,025 | james.mailetcontainer | Matcher All instantiated.
INFO  22:22:36,084 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:22:36,086 | james.mailetcontainer | Matcher All instantiated.
INFO  22:22:36,093 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:22:36,095 | james.mailetcontainer | Matcher All instantiated.
INFO  22:22:36,103 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:22:36,105 | james.mailetcontainer | Matcher All instantiated.
INFO  22:22:36,112 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:22:36,113 | james.mailetcontainer | Matcher All instantiated.
INFO  22:22:36,133 | james.mailetcontainer | Mailet DSNBounce instantiated.
INFO  22:22:36,713 | james.mailetcontainer | JamesSpoolManager init...
INFO  22:22:36,714 | james.mailetcontainer | Spooler Manager uses 20 Thread(s)
INFO  22:22:36,715 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #2
INFO  22:22:36,715 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #1
INFO  22:22:36,716 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #3
INFO  22:22:36,716 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,716 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,718 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #0
INFO  22:22:36,718 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,718 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,719 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #5
INFO  22:22:36,719 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #6
INFO  22:22:36,719 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #7
INFO  22:22:36,719 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #4
INFO  22:22:36,724 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #19
INFO  22:22:36,724 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #18
INFO  22:22:36,724 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #11
INFO  22:22:36,724 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #16
INFO  22:22:36,724 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #17
INFO  22:22:36,724 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #15
INFO  22:22:36,724 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #14
INFO  22:22:36,724 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #13
INFO  22:22:36,725 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #12
INFO  22:22:36,725 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #9
INFO  22:22:36,725 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #10
INFO  22:22:36,725 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #8
INFO  22:22:36,726 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,733 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,734 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,736 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,739 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,745 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,748 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,748 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,752 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,753 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,760 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,761 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
